Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Московская область;451 ;№ 1002 (АЗС-партнер);Московская область, Ленинский р-он, городское поселение Горки Ленинские, д. Калиновка, 28км автодороги «Дон», вл1. стр.1;55,515534;37,710328;"Магазин
Шиномонтаж";"WI-FI
Автомойка
Автотовары
Банкомат
Бесплатная горячая питьевая вода
Выпечка
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Подкачка шин (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";48.9 руб.;55.9 руб.;61.9 руб.;67.9 руб.;;;;;73 руб.;;;;;;;;;;
Московская область;451 ;№ 2001 (АЗС-партнер);Московская область, Раменский городской округ, деревня Верея, д.458, автодорога «Москва-Жуковский», слева;55,621333;38,039807;Магазин;"Автотовары
Кофе
Напитки";51.4 руб.;59.7 руб.;67 руб.;69 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 2026 (АЗС-партнер);Московская область, г. Ступино, ул.Знаменская 48;54,884707;38,186539;"Автомойка
Магазин";"Автомойка
Автотовары
Выпечка
Кофе
Напитки
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет";50.65 руб.;57.15 руб.;63.95 руб.;66.15 руб.;;;;;69.9 руб.;;;;;;;;;;
Московская область;451 ;№ 2055 (АЗС-партнер);Московская область ,г.о. Красногорск, г. Красногорск, тер. Автодорога Пятницкое шоссе, 9-й км., стр.1;55,880099;37,318736;;"WI-FI
Выпечка
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол
Туалет";49.99 руб.;55.39 руб.;60.99 руб.;63.89 руб.;;;;;;56.79 руб.;;;;;;;;;
Московская область;451 ;№ 2056 (АЗС-партнер);Московская область, г.о. Красногорск, г. Красногорск, тер. Автодорога Пятницкое шоссе, 7-й км, стр. 6;55,876516;37,328511;;"WI-FI
Выпечка
Зарядка мобильных устройств
Кофе
Напитки
Протирка стекол
Туалет";49.99 руб.;55.39 руб.;60.99 руб.;63.89 руб.;;;;;;56.39 руб.;;;;;;;;;
Московская область;451 ;№ 2078 (АЗС-партнер);Московская область, городской округ Красногорск, Новорижское шоссе,.29-й км, мгстр. «Балтия», стр. 1.;55,774047;37,207526;;"Автокафе
Автотовары
Напитки
Подкачка шин
Туалет";49.99 руб.;55.29 руб.;61.99 руб.;;;;;;;57.29 руб.;;;;;;;;;
Московская область;451 ;№ 2093;г. Московская обл, г.о. Раменский, д. Михнево, кварт. 30153, стр. 2;55,633014;37,961112;"Кафе
Магазин";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол
Туалет
Услуга заправщика (в дневное время)";49.39 руб.;54.79 руб.;61.99 руб.;63.59 руб.;;;;;;55.99 руб.;;;;;;;;;
Санкт-Петербург;458 ;№ 3;г. Санкт-Петербург, Московский пр., д. 102;59,89716754;30,31977809;;"WI-FI
Автокафе
Автотовары
Кофе
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 29;г. Санкт-Петербург, Малый пр. В.О., д. 68 к. 1;59,93874671;30,24647859;"Кафе
Магазин";"WI-FI
Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 45 (АЗС-партнер);г. Санкт-Петербург, Авангардная ул., д. 36;59,82618263;30,18568337;"Кафе
Магазин";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 66;г. Санкт-Петербург, ул. Савушкина, д. 87;59,984904;30,24721;;Терминал оплаты;50.89 руб.;55.24 руб.;63.64 руб.;;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 300 (АЗС-партнер);г. Санкт-Петербург, Пулковское ш., д. 38;59,819915;30,32513;"Автомойка
Кафе
Кафе GreenLight
Магазин
Стоянка
Шиномонтаж";"WI-FI
Автокафе
Автомойка
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Подкачка шин
Протирка стекол
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Роботизированная мойка
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 301;г. Санкт-Петербург, Школьная ул., д. 77;59,99288243;30,20787163;"Автомойка
Кафе
Магазин
Стоянка";"WI-FI
Автомойка
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 302;г. Санкт-Петербург, Выборгское ш., д. 21;60,05783805;30,30822926;"Кафе
Магазин
Стоянка";"WI-FI
Автотовары
Банкомат
Бесплатная горячая питьевая вода
Выпечка
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 303 (АЗС-партнер);г. Санкт-Петербург, Октябрьская наб., д. 12A;59,911669;30,423352;"Кафе
Кафе GreenLight
Магазин";"WI-FI
Автокафе
Автотовары
Бесплатная горячая питьевая вода
Выпечка
Зарядка мобильных устройств
Кофе
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 304 (АЗС-партнер);г. Санкт-Петербург, Краснопутиловская ул., д. 95A;59,851291;30,304684;"Кафе
Магазин";"WI-FI
Автотовары
Банкомат
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
