Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Московская область;451 ;№ 96;Московская область г. Климовск, ул. Климовская, 59;55,356437;37,53093;"Кафе
Магазин
Стоянка";"Автотовары
Выпечка
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.29 руб.;55.19 руб.;61.59 руб.;63.29 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 101;Московская область., Можайский г.о., д. Шаликово, квартал 0080408-1, д. 1;55,496094;36,153601;"Кафе GreenLight
Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет";50.69 руб.;55.79 руб.;61.29 руб.;62.99 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 279;Московская область , Сергиево -Посадский район, тер.автодорога М-8 Холмогоры,87 км, д.1 стр.1;56,39178678;38,32798362;"Магазин
Стоянка";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";50.09 руб.;55.79 руб.;62.99 руб.;64.69 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 280;Московская область, Сергиево-Посадский р-он,тер.автодорога М-8 Холмогоры,87 км, д.2 стр.1;56,3919;38,32523;"Магазин
Стоянка";"WI-FI
Автотовары
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";49.99 руб.;55.19 руб.;60.89 руб.;62.59 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 303;Московская область,Домодедовский район, 49 км А/Д Москва-Дон (слева);55,344896;37,809027;Магазин;"Автотовары
Кофе
Напитки
Туалет";49.59 руб.;55.39 руб.;63.29 руб.;64.99 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 662;Московская область, г.о.Коломна, д.Санино,тер.автодорога М5 Урал, 94-й км.,зд.2;55,212716;38,636179;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";49.99 руб.;55.19 руб.;62.79 руб.;64.49 руб.;;;31.99 руб.;;69.09 руб.;;;;;;;;;;
Московская область;451 ;№ 663;Московская область, ,г.о.Коломна, д.Санино,тер.автодорога М5 Урал, 94-й км.,зд.1;55,212982;38,632603;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (круглосуточно)";49.99 руб.;55.19 руб.;62.99 руб.;64.69 руб.;;;31.99 руб.;;69.09 руб.;;;;;;;;;;
Московская область;451 ;№ 684;Московская область, городской округ Богородский, территория Автомобильная дорога М-12, километр 53-ий, земельный участок 1;55,809995;38,283738;"Кафе
Кафе GreenLight
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Комната матери и ребёнка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (круглосуточно)";51.29 руб.;56.19 руб.;61.69 руб.;63.39 руб.;;;;;68.69 руб.;;;;;;;;;;
Московская область;451 ;№ 685;Московская область, городской округ Богородский, территория Автомобильная дорога М-12, километр 54-ый, земельный участок 2;55,817121;38,305785;"Кафе GreenLight
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Комната матери и ребёнка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Уличная детская площадка
Услуга заправщика (круглосуточно)";51.29 руб.;56.19 руб.;61.89 руб.;63.59 руб.;;;;;68.69 руб.;;;;;;;;;;
Московская область;451 ;№ 1001 (АЗС-партнер);Московская область г. Егорьевск ул. 1 Мая д.2В;55,37417;39,034937;;;51 руб.;52 руб.;62 руб.;;;;;;;;;;;;;;;;
